Actual Rating,Predicted Rating
4.1,4.1
4.1,4.08
3.6,3.67
4.4,4.4
3.9,3.9
4.0,4.0
3.9,3.96
4.0,4.01
4.1,4.1
3.8,3.81
4.1,4.1
4.2,4.19
3.3,3.3
4.2,4.2
3.9,3.9
3.9,3.9
3.2,3.2
4.1,3.77
3.9,4.0
2.9,2.9
4.7,4.7
4.4,4.4
4.1,4.1
3.6,3.6
4.2,4.2
4.5,4.5
3.1,3.1
4.1,4.1
4.2,4.19
3.7,3.7
3.5,3.5
4.2,4.2
4.1,4.1
4.2,4.2
4.5,4.5
4.1,4.1
3.9,3.93
3.9,3.9
4.1,4.1
3.7,3.7
2.6,2.6
3.0,3.03
4.2,4.2
3.8,2.91
4.2,4.2
4.0,3.95
3.9,3.9
4.1,4.1
3.7,3.7
3.1,3.1
3.7,3.7
3.7,3.7
3.9,3.75
4.2,4.2
4.2,4.17
4.1,4.1
4.1,3.94
3.8,3.8
4.5,4.5
4.2,4.2
4.5,4.5
2.7,2.7
4.1,4.1
4.2,4.2
3.9,3.92
2.8,2.77
4.1,4.14
3.8,3.74
4.2,4.2
2.6,2.6
2.6,2.6
4.1,4.1
3.9,3.9
4.2,4.2
3.8,3.8
4.5,4.5
3.6,3.6
4.2,4.2
4.0,4.0
3.6,3.6
4.2,4.2
3.9,3.9
4.0,4.0
3.7,3.7
4.0,4.0
4.2,4.2
3.7,3.7
4.3,4.25
4.1,4.14
3.9,3.9
3.6,3.6
3.8,3.8
4.1,4.1
2.6,2.6
4.1,4.1
4.6,4.6
3.8,3.8
3.9,3.9
4.0,4.0
4.5,4.5
3.7,3.7
3.6,3.6
4.1,4.15
3.9,3.83
3.4,3.4
4.2,4.2
4.0,3.67
2.9,2.9
3.7,3.7
4.3,4.3
3.7,3.7
4.0,4.0
4.2,3.95
4.2,4.2
4.0,4.0
4.3,4.3
4.4,4.4
4.2,4.21
3.5,3.5
4.2,4.19
4.4,4.4
4.1,4.1
4.1,4.1
4.1,4.1
2.8,2.8
3.9,3.9
3.8,3.8
4.5,4.5
4.3,4.3
4.3,4.28
3.1,3.06
3.9,3.92
4.3,4.3
3.7,3.99
3.8,3.8
4.3,4.3
3.8,3.8
4.0,4.0
3.9,3.9
3.8,3.8
2.7,2.6
3.7,3.64
3.8,3.79
4.3,4.3
3.9,3.9
3.9,3.9
3.5,3.6
4.0,4.0
4.4,4.4
3.1,3.13
4.5,4.5
3.0,3.03
3.6,3.6
3.5,3.58
4.0,3.46
3.4,3.4
4.7,4.8
4.2,4.07
